preparation,math,reading,writing,gender
none,0.72,0.72,0.74,F
completed,0.69,0.9,0.88,F
none,0.9,0.95,0.93,F
none,0.47,0.57,0.44,M
none,0.76,0.78,0.75,M
none,0.71,0.83,0.78,F
completed,0.88,0.95,0.92,F
none,0.4,0.43,0.39,M
completed,0.64,0.64,0.67,M
none,0.38,0.6,0.5,F
none,0.58,0.54,0.52,M
none,0.4,0.52,0.43,M
none,0.65,0.81,0.73,F
completed,0.78,0.72,0.7,M
none,0.5,0.53,0.58,F
none,0.69,0.75,0.78,F
none,0.88,0.89,0.86,M
none,0.18,0.32,0.28,F
completed,0.46,0.42,0.46,M
none,0.54,0.58,0.61,F
none,0.66,0.69,0.63,M
completed,0.65,0.75,0.7,F
none,0.44,0.54,0.53,M
none,0.69,0.73,0.73,F
completed,0.74,0.71,0.8,M
none,0.73,0.74,0.72,M
none,0.69,0.54,0.55,M
none,0.67,0.69,0.75,F
none,0.7,0.7,0.65,M
none,0.62,0.7,0.75,F
none,0.69,0.74,0.74,F
none,0.63,0.65,0.61,F
none,0.56,0.72,0.65,F
none,0.4,0.42,0.38,M
none,0.97,0.87,0.82,M
completed,0.81,0.81,0.79,M
none,0.74,0.81,0.83,F
none,0.5,0.64,0.59,F
completed,0.75,0.9,0.88,F
none,0.57,0.56,0.57,M
none,0.55,0.61,0.54,M
none,0.58,0.73,0.68,F
none,0.53,0.58,0.65,F
completed,0.59,0.65,0.66,M
none,0.5,0.56,0.54,F
none,0.65,0.54,0.57,M
completed,0.55,0.65,0.62,F
none,0.66,0.71,0.76,F
completed,0.57,0.74,0.76,F
completed,0.82,0.84,0.82,M
none,0.53,0.55,0.48,M
completed,0.77,0.69,0.68,M
none,0.53,0.44,0.42,M
none,0.88,0.78,0.75,M
completed,0.71,0.84,0.87,F
none,0.33,0.41,0.43,F
completed,0.82,0.85,0.86,F
none,0.52,0.55,0.49,M
completed,0.58,0.59,0.58,M
none,0,0.17,0.1,F
completed,0.79,0.74,0.72,M
none,0.39,0.39,0.34,M
none,0.62,0.61,0.55,M
none,0.69,0.8,0.71,F
none,0.59,0.58,0.59,F
none,0.67,0.64,0.61,M
none,0.45,0.37,0.37,M
none,0.6,0.72,0.74,F
none,0.61,0.58,0.56,M
none,0.39,0.64,0.57,F
completed,0.58,0.63,0.73,F
completed,0.63,0.55,0.63,M
none,0.41,0.51,0.48,F
none,0.61,0.57,0.56,M
none,0.49,0.49,0.41,M
none,0.44,0.41,0.38,M
none,0.3,0.26,0.22,M
completed,0.8,0.78,0.81,M
completed,0.61,0.74,0.72,F
none,0.62,0.68,0.68,F
none,0.47,0.49,0.5,F
none,0.49,0.45,0.45,M
completed,0.5,0.47,0.54,M
none,0.72,0.64,0.63,M
none,0.42,0.39,0.34,M
none,0.73,0.8,0.82,F
none,0.76,0.83,0.88,F
none,0.71,0.71,0.74,F
none,0.58,0.7,0.67,F
none,0.73,0.86,0.82,F
none,0.65,0.72,0.74,F
none,0.27,0.34,0.36,M
none,0.71,0.79,0.71,M
completed,0.43,0.45,0.5,M
none,0.79,0.86,0.92,F
completed,0.78,0.81,0.82,M
completed,0.65,0.66,0.62,M
completed,0.63,0.72,0.7,F
none,0.58,0.67,0.62,F
none,0.65,0.67,0.62,F
none,0.79,0.67,0.67,M
completed,0.68,0.74,0.74,M
none,0.85,0.91,0.89,F
completed,0.6,0.44,0.47,M
completed,0.98,0.86,0.9,M
none,0.58,0.67,0.72,F
none,0.87,1,1,F
completed,0.66,0.63,0.64,M
none,0.52,0.76,0.7,F
none,0.7,0.64,0.72,F
completed,0.77,0.89,0.98,F
none,0.62,0.55,0.49,M
none,0.54,0.53,0.47,M
none,0.51,0.58,0.54,F
completed,0.99,1,1,F
none,0.84,0.77,0.74,M
none,0.75,0.85,0.82,F
none,0.78,0.82,0.79,F
none,0.51,0.63,0.61,F
none,0.55,0.69,0.65,F
completed,0.79,0.92,0.89,F
completed,0.91,0.89,0.92,M
completed,0.88,0.93,0.93,F
none,0.63,0.57,0.56,M
none,0.83,0.8,0.73,M
none,0.87,0.95,0.86,F
none,0.72,0.68,0.67,M
completed,0.65,0.77,0.74,M
none,0.82,0.82,0.74,M
none,0.51,0.49,0.51,F
none,0.89,0.84,0.82,M
completed,0.53,0.37,0.4,M
completed,0.87,0.74,0.7,M
completed,0.75,0.81,0.84,F
completed,0.74,0.79,0.75,M
none,0.58,0.55,0.48,M
completed,0.51,0.54,0.41,M
none,0.7,0.55,0.56,M
none,0.59,0.66,0.67,F
completed,0.71,0.61,0.69,M
none,0.76,0.72,0.71,F
none,0.59,0.62,0.64,F
completed,0.42,0.55,0.54,F
none,0.57,0.43,0.47,M
none,0.88,0.73,0.78,M
none,0.22,0.39,0.33,F
none,0.88,0.84,0.75,M
none,0.73,0.68,0.66,M
completed,0.68,0.75,0.81,F
completed,1,1,0.93,M
completed,0.62,0.67,0.69,M
none,0.77,0.67,0.68,M
completed,0.59,0.7,0.66,F
none,0.54,0.49,0.47,M
none,0.62,0.67,0.61,M
completed,0.7,0.89,0.88,F
completed,0.66,0.74,0.78,F
none,0.6,0.6,0.6,M
completed,0.61,0.86,0.87,F
none,0.66,0.62,0.64,M
completed,0.82,0.78,0.74,M
completed,0.75,0.88,0.85,F
none,0.49,0.53,0.52,M
none,0.52,0.53,0.49,M
none,0.81,0.92,0.91,F
completed,0.96,1,1,F
completed,0.53,0.51,0.51,M
completed,0.58,0.76,0.78,F
completed,0.68,0.83,0.78,F
completed,0.67,0.75,0.7,F
completed,0.72,0.73,0.74,M
none,0.94,0.88,0.78,M
none,0.79,0.86,0.81,F
none,0.63,0.67,0.7,F
completed,0.43,0.51,0.54,F
completed,0.81,0.91,0.87,F
completed,0.46,0.54,0.58,F
completed,0.71,0.77,0.77,F
completed,0.52,0.7,0.62,F
completed,0.97,1,1,F
completed,0.62,0.68,0.75,M
none,0.46,0.64,0.66,F
none,0.5,0.5,0.47,F
none,0.65,0.69,0.7,F
completed,0.45,0.52,0.49,M
completed,0.65,0.67,0.65,M
none,0.8,0.76,0.65,M
completed,0.62,0.66,0.68,M
none,0.48,0.52,0.45,M
none,0.77,0.88,0.87,F
none,0.66,0.65,0.69,F
completed,0.76,0.83,0.79,M
none,0.62,0.64,0.66,F
completed,0.77,0.62,0.62,M
completed,0.69,0.84,0.85,F
none,0.61,0.55,0.52,M
completed,0.59,0.69,0.65,M
none,0.55,0.56,0.51,M
none,0.45,0.53,0.55,F
none,0.78,0.79,0.76,F
completed,0.67,0.84,0.86,F
none,0.65,0.81,0.77,F
none,0.69,0.77,0.69,M
none,0.57,0.69,0.68,F
none,0.59,0.41,0.42,M
completed,0.74,0.71,0.78,M
none,0.82,0.62,0.62,M
completed,0.81,0.8,0.76,M
none,0.74,0.81,0.76,F
none,0.58,0.61,0.66,F
completed,0.8,0.79,0.79,M
none,0.35,0.28,0.27,M
none,0.42,0.62,0.6,F
completed,0.6,0.51,0.56,M
completed,0.87,0.91,0.81,M
completed,0.84,0.83,0.75,M
completed,0.83,0.86,0.88,F
none,0.34,0.42,0.39,F
none,0.66,0.77,0.7,M
completed,0.61,0.56,0.56,M
completed,0.56,0.68,0.74,F
none,0.87,0.85,0.73,M
none,0.55,0.65,0.62,F
none,0.86,0.8,0.75,M
completed,0.52,0.66,0.73,F
none,0.45,0.56,0.54,F
none,0.72,0.72,0.71,F
none,0.57,0.5,0.54,M
none,0.68,0.72,0.64,M
completed,0.88,0.95,0.94,F
none,0.76,0.64,0.66,M
none,0.46,0.43,0.42,M
none,0.67,0.86,0.83,F
none,0.92,0.87,0.78,M
completed,0.83,0.82,0.84,M
none,0.8,0.75,0.77,M
none,0.63,0.66,0.67,M
completed,0.64,0.6,0.74,F
none,0.54,0.52,0.51,M
none,0.84,0.8,0.8,M
completed,0.73,0.68,0.66,M
none,0.8,0.83,0.83,F
none,0.56,0.52,0.55,F
none,0.59,0.51,0.43,M
none,0.75,0.74,0.69,M
none,0.85,0.76,0.71,M
none,0.89,0.76,0.74,M
completed,0.58,0.7,0.68,F
none,0.65,0.64,0.62,F
none,0.68,0.6,0.53,M
completed,0.47,0.49,0.49,M
none,0.71,0.83,0.83,F
completed,0.6,0.7,0.7,F
none,0.8,0.8,0.72,M
none,0.54,0.52,0.52,M
none,0.62,0.73,0.7,F
none,0.64,0.73,0.68,F
completed,0.78,0.77,0.77,M
none,0.7,0.75,0.78,F
completed,0.65,0.81,0.81,F
completed,0.64,0.79,0.77,F
completed,0.79,0.79,0.78,M
none,0.44,0.5,0.51,F
none,0.99,0.93,0.9,F
none,0.76,0.73,0.68,M
none,0.59,0.42,0.41,M
none,0.63,0.75,0.81,F
none,0.69,0.72,0.77,F
completed,0.88,0.92,0.95,F
none,0.71,0.76,0.7,F
none,0.69,0.63,0.61,M
none,0.58,0.49,0.42,M
none,0.47,0.53,0.58,F
none,0.65,0.7,0.71,F
completed,0.88,0.85,0.76,M
none,0.83,0.78,0.73,M
completed,0.85,0.92,0.93,F
completed,0.59,0.63,0.75,F
none,0.65,0.86,0.8,F
none,0.73,0.56,0.57,M
none,0.53,0.52,0.42,M
none,0.45,0.48,0.46,M
none,0.73,0.79,0.84,F
completed,0.7,0.78,0.78,F
none,0.37,0.46,0.46,F
completed,0.81,0.82,0.82,M
completed,0.97,0.82,0.88,M
none,0.67,0.89,0.82,F
none,0.88,0.75,0.76,M
completed,0.77,0.76,0.77,M
none,0.76,0.7,0.68,M
none,0.86,0.73,0.7,M
completed,0.63,0.6,0.57,M
none,0.65,0.73,0.75,F
completed,0.78,0.77,0.8,M
none,0.67,0.62,0.6,M
completed,0.46,0.41,0.43,M
completed,0.71,0.74,0.68,M
completed,0.4,0.46,0.5,M
none,0.9,0.87,0.75,M
completed,0.81,0.78,0.81,M
none,0.56,0.54,0.52,M
completed,0.67,0.84,0.81,F
none,0.8,0.76,0.64,M
completed,0.74,0.75,0.83,F
none,0.69,0.67,0.69,M
completed,0.99,0.87,0.81,M
none,0.51,0.52,0.44,M
none,0.53,0.71,0.67,F
none,0.49,0.57,0.52,F
none,0.73,0.76,0.8,F
none,0.66,0.6,0.57,M
completed,0.67,0.61,0.68,M
completed,0.68,0.67,0.69,F
completed,0.59,0.64,0.75,F
none,0.71,0.66,0.65,M
completed,0.77,0.82,0.91,F
none,0.83,0.72,0.78,M
none,0.63,0.71,0.69,M
none,0.56,0.65,0.63,F
completed,0.67,0.79,0.84,F
none,0.75,0.86,0.79,F
none,0.71,0.81,0.8,F
none,0.43,0.53,0.53,F
none,0.41,0.46,0.43,F
none,0.82,0.9,0.94,F
none,0.61,0.61,0.62,M
none,0.28,0.23,0.19,M
completed,0.82,0.75,0.77,M
none,0.41,0.55,0.51,F
none,0.71,0.6,0.61,M
none,0.47,0.37,0.35,M
completed,0.62,0.56,0.53,M
none,0.9,0.78,0.81,M
none,0.83,0.93,0.95,F
none,0.61,0.68,0.66,F
completed,0.76,0.7,0.69,M
none,0.49,0.51,0.43,M
none,0.24,0.38,0.27,F
completed,0.35,0.55,0.6,F
none,0.58,0.61,0.52,M
none,0.61,0.73,0.63,F
completed,0.69,0.76,0.74,F
completed,0.67,0.72,0.67,M
none,0.79,0.73,0.67,M
none,0.72,0.8,0.75,F
none,0.62,0.61,0.57,M
completed,0.77,0.94,0.95,F
none,0.75,0.74,0.66,M
none,0.87,0.74,0.76,M
none,0.52,0.65,0.69,F
none,0.66,0.57,0.52,M
completed,0.63,0.78,0.8,F
none,0.46,0.58,0.57,F
none,0.59,0.71,0.7,F
none,0.61,0.72,0.7,F
none,0.63,0.61,0.61,M
completed,0.42,0.66,0.69,F
none,0.59,0.62,0.61,M
none,0.8,0.9,0.89,F
none,0.58,0.62,0.59,F
completed,0.85,0.84,0.78,M
none,0.52,0.58,0.58,F
none,0.27,0.34,0.32,F
none,0.59,0.6,0.58,M
completed,0.49,0.58,0.6,M
completed,0.69,0.58,0.53,M
none,0.61,0.66,0.61,M
none,0.44,0.64,0.58,F
none,0.73,0.84,0.85,F
none,0.84,0.77,0.71,M
completed,0.45,0.73,0.7,F
none,0.74,0.74,0.72,M
completed,0.82,0.97,0.96,F
none,0.59,0.7,0.73,F
none,0.46,0.43,0.41,M
none,0.8,0.9,0.82,F
completed,0.85,0.95,1,F
none,0.71,0.83,0.77,F
none,0.66,0.64,0.62,M
none,0.8,0.86,0.83,F
completed,0.87,1,0.95,M
none,0.79,0.81,0.71,M
none,0.38,0.49,0.45,F
none,0.38,0.43,0.43,F
none,0.67,0.76,0.75,F
none,0.64,0.73,0.7,F
none,0.57,0.78,0.67,F
none,0.62,0.64,0.64,F
none,0.73,0.7,0.75,M
completed,0.73,0.67,0.59,M
none,0.77,0.68,0.77,F
none,0.76,0.67,0.67,M
completed,0.57,0.54,0.56,M
completed,0.65,0.74,0.77,F
none,0.48,0.45,0.41,M
none,0.5,0.67,0.63,F
none,0.85,0.89,0.95,F
none,0.74,0.63,0.57,M
none,0.6,0.59,0.54,M
completed,0.59,0.54,0.67,F
none,0.53,0.43,0.43,M
none,0.49,0.65,0.55,F
completed,0.88,0.99,1,F
none,0.54,0.59,0.62,F
none,0.63,0.73,0.68,F
completed,0.65,0.65,0.63,M
none,0.82,0.8,0.77,F
completed,0.52,0.57,0.56,F
completed,0.87,0.84,0.85,M
completed,0.7,0.71,0.74,F
completed,0.84,0.83,0.78,M
none,0.71,0.66,0.6,M
completed,0.63,0.67,0.67,M
completed,0.51,0.72,0.79,F
none,0.84,0.73,0.69,M
completed,0.71,0.74,0.68,M
none,0.74,0.73,0.67,M
none,0.68,0.59,0.62,M
completed,0.57,0.56,0.54,M
completed,0.82,0.93,0.93,F
completed,0.57,0.58,0.64,F
completed,0.47,0.58,0.67,F
completed,0.59,0.85,0.8,F
none,0.41,0.39,0.34,M
none,0.62,0.67,0.62,F
none,0.86,0.83,0.86,M
none,0.69,0.71,0.65,M
none,0.65,0.59,0.53,M
none,0.68,0.63,0.54,M
none,0.64,0.66,0.59,M
none,0.61,0.72,0.7,F
none,0.61,0.56,0.55,M
none,0.47,0.59,0.5,F
none,0.73,0.66,0.66,M
completed,0.5,0.48,0.53,M
none,0.75,0.68,0.64,M
none,0.75,0.66,0.73,M
none,0.7,0.56,0.51,M
completed,0.89,0.88,0.82,M
completed,0.67,0.81,0.79,F
none,0.78,0.81,0.8,F
none,0.59,0.73,0.69,F
none,0.73,0.83,0.76,F
none,0.79,0.82,0.73,M
completed,0.67,0.74,0.77,F
none,0.69,0.66,0.6,M
completed,0.86,0.81,0.8,M
none,0.47,0.46,0.42,M
none,0.81,0.73,0.72,M
completed,0.64,0.85,0.85,F
none,1,0.92,0.97,F
none,0.65,0.77,0.74,F
none,0.65,0.58,0.49,M
none,0.53,0.61,0.62,F
none,0.37,0.56,0.47,M
none,0.79,0.89,0.89,F
none,0.53,0.54,0.48,M
none,1,1,1,F
completed,0.72,0.65,0.68,M
none,0.53,0.58,0.55,M
none,0.54,0.54,0.45,M
none,0.71,0.7,0.76,F
none,0.77,0.9,0.91,F
completed,0.75,0.58,0.62,M
none,0.84,0.87,0.91,F
none,0.26,0.31,0.38,F
completed,0.72,0.67,0.65,M
completed,0.77,0.88,0.85,F
none,0.91,0.74,0.76,M
completed,0.83,0.85,0.9,F
none,0.63,0.69,0.74,F
completed,0.68,0.86,0.84,F
none,0.59,0.67,0.61,F
completed,0.9,0.9,0.91,F
completed,0.71,0.76,0.83,F
completed,0.76,0.62,0.66,M
none,0.8,0.68,0.72,M
none,0.55,0.64,0.7,F
none,0.76,0.71,0.67,M
completed,0.73,0.71,0.68,M
none,0.52,0.59,0.56,F
none,0.68,0.68,0.61,M
none,0.59,0.52,0.46,M
none,0.49,0.52,0.54,F
none,0.7,0.74,0.71,M
none,0.61,0.47,0.56,M
none,0.6,0.75,0.74,F
completed,0.64,0.53,0.57,M
completed,0.79,0.82,0.82,M
none,0.65,0.85,0.76,F
none,0.64,0.64,0.7,F
none,0.83,0.83,0.9,F
none,0.81,0.88,0.9,F
none,0.54,0.64,0.68,F
completed,0.68,0.64,0.66,M
none,0.54,0.48,0.52,F
completed,0.59,0.78,0.76,F
none,0.66,0.69,0.68,F
none,0.76,0.71,0.72,M
