preparation,math,reading,writing,gender
none,0.74,0.79,0.82,F
completed,0.94,0.87,0.92,F
none,0.63,0.61,0.54,M
completed,0.95,0.89,0.92,F
none,0.4,0.59,0.54,F
none,0.82,0.82,0.8,F
none,0.68,0.7,0.66,M
none,0.55,0.59,0.54,M
none,0.79,0.78,0.77,M
none,0.86,0.92,0.87,F
none,0.76,0.71,0.73,M
none,0.64,0.5,0.43,M
none,0.62,0.49,0.52,M
completed,0.54,0.61,0.62,F
completed,0.77,0.97,0.94,F
completed,0.76,0.87,0.85,F
none,0.74,0.89,0.84,F
completed,0.66,0.74,0.73,F
completed,0.66,0.78,0.78,F
completed,0.67,0.78,0.79,F
none,0.71,0.49,0.52,M
none,0.91,0.86,0.84,F
none,0.69,0.58,0.57,M
none,0.54,0.59,0.5,M
completed,0.53,0.52,0.49,M
none,0.68,0.6,0.59,M
completed,0.56,0.61,0.6,M
none,0.36,0.53,0.43,F
none,0.29,0.41,0.47,F
none,0.62,0.74,0.7,F
completed,0.68,0.67,0.73,F
none,0.47,0.54,0.53,F
completed,0.62,0.61,0.58,M
completed,0.79,0.88,0.94,F
completed,0.73,0.69,0.68,M
completed,0.66,0.83,0.83,F
completed,0.51,0.6,0.58,M
none,0.51,0.66,0.62,F
completed,0.85,0.66,0.71,M
completed,0.97,0.92,0.86,M
completed,0.75,0.69,0.68,M
completed,0.79,0.82,0.8,M
none,0.81,0.77,0.79,F
none,0.82,0.95,0.89,F
none,0.64,0.63,0.66,F
completed,0.78,0.83,0.8,M
completed,0.92,1,0.97,F
completed,0.72,0.67,0.64,M
none,0.62,0.67,0.64,F
none,0.79,0.72,0.69,M
none,0.79,0.76,0.65,M
completed,0.87,0.9,0.88,M
none,0.4,0.48,0.5,F
none,0.77,0.62,0.64,M
none,0.53,0.45,0.4,M
none,0.32,0.39,0.33,F
completed,0.55,0.72,0.79,F
none,0.61,0.67,0.66,M
none,0.53,0.7,0.7,F
none,0.73,0.66,0.62,M
completed,0.74,0.75,0.79,F
none,0.63,0.74,0.74,F
completed,0.96,0.9,0.92,M
completed,0.63,0.8,0.8,F
none,0.48,0.51,0.46,M
none,0.48,0.43,0.45,M
completed,0.92,1,1,F
completed,0.61,0.71,0.78,F
none,0.63,0.48,0.47,M
none,0.68,0.68,0.67,M
completed,0.71,0.75,0.7,M
none,0.91,0.96,0.92,M
none,0.53,0.62,0.56,F
completed,0.5,0.66,0.64,F
none,0.74,0.81,0.71,F
completed,0.4,0.55,0.53,M
completed,0.61,0.51,0.52,M
none,0.81,0.91,0.89,F
completed,0.48,0.56,0.58,F
none,0.53,0.61,0.68,F
none,0.81,0.97,0.96,F
none,0.77,0.79,0.8,F
none,0.63,0.73,0.78,F
completed,0.73,0.75,0.8,F
none,0.69,0.77,0.77,F
none,0.65,0.76,0.76,F
none,0.55,0.73,0.73,F
none,0.44,0.63,0.62,F
none,0.54,0.64,0.65,F
none,0.48,0.66,0.65,F
none,0.58,0.57,0.54,M
none,0.71,0.62,0.5,M
none,0.68,0.68,0.64,M
none,0.74,0.76,0.73,F
completed,0.92,1,0.99,F
completed,0.56,0.79,0.72,F
none,0.3,0.24,0.15,M
none,0.53,0.54,0.48,M
none,0.69,0.77,0.73,F
none,0.65,0.82,0.81,F
none,0.54,0.6,0.63,F
none,0.29,0.29,0.3,F
none,0.76,0.78,0.8,F
none,0.6,0.57,0.51,M
completed,0.84,0.89,0.9,M
none,0.75,0.72,0.62,M
none,0.85,0.84,0.82,F
none,0.4,0.58,0.54,F
none,0.61,0.64,0.62,F
none,0.58,0.63,0.65,F
completed,0.69,0.6,0.63,M
none,0.58,0.59,0.66,F
completed,0.94,0.9,0.91,M
none,0.65,0.77,0.74,F
none,0.82,0.93,0.93,F
none,0.6,0.68,0.72,F
none,0.37,0.45,0.38,F
none,0.88,0.78,0.83,M
none,0.95,0.81,0.84,M
completed,0.65,0.73,0.68,M
none,0.35,0.61,0.54,F
none,0.62,0.63,0.56,M
completed,0.58,0.51,0.52,M
completed,1,0.96,0.86,M
none,0.61,0.58,0.62,F
completed,1,0.97,0.99,M
completed,0.69,0.7,0.63,M
none,0.61,0.48,0.46,M
none,0.49,0.57,0.46,M
completed,0.44,0.51,0.55,F
none,0.67,0.64,0.7,M
none,0.79,0.6,0.65,M
completed,0.66,0.74,0.81,F
none,0.75,0.88,0.85,F
none,0.84,0.84,0.8,M
none,0.71,0.74,0.64,M
completed,0.67,0.8,0.81,F
completed,0.8,0.92,0.88,F
none,0.86,0.76,0.74,M
none,0.76,0.74,0.73,F
none,0.41,0.52,0.51,M
completed,0.74,0.88,0.9,F
none,0.72,0.81,0.79,F
completed,0.74,0.79,0.8,F
none,0.7,0.65,0.6,M
completed,0.65,0.81,0.81,F
none,0.59,0.7,0.65,F
none,0.64,0.62,0.68,F
none,0.5,0.53,0.55,F
completed,0.69,0.79,0.81,F
completed,0.51,0.56,0.53,M
completed,0.68,0.8,0.76,F
completed,0.85,0.86,0.98,F
completed,0.65,0.7,0.74,F
none,0.73,0.79,0.79,F
none,0.62,0.67,0.67,F
none,0.77,0.67,0.64,M
none,0.69,0.66,0.61,M
none,0.43,0.6,0.58,F
none,0.9,0.87,0.85,M
none,0.74,0.77,0.73,M
none,0.73,0.66,0.63,M
none,0.55,0.71,0.69,F
none,0.65,0.69,0.67,F
none,0.8,0.63,0.63,M
completed,0.5,0.6,0.6,F
completed,0.63,0.73,0.71,F
none,0.77,0.85,0.87,F
none,0.73,0.74,0.61,M
completed,0.81,0.72,0.77,M
none,0.66,0.76,0.68,F
none,0.52,0.57,0.5,M
none,0.69,0.78,0.76,F
completed,0.65,0.84,0.84,F
completed,0.69,0.77,0.78,F
completed,0.5,0.64,0.66,F
completed,0.73,0.78,0.76,F
completed,0.7,0.82,0.76,F
none,0.81,0.75,0.78,M
none,0.63,0.61,0.6,M
none,0.67,0.72,0.74,F
none,0.6,0.68,0.6,M
none,0.62,0.55,0.54,M
completed,0.29,0.4,0.44,F
completed,0.62,0.66,0.68,M
completed,0.94,0.99,1,F
completed,0.85,0.75,0.68,M
none,0.77,0.78,0.73,M
none,0.53,0.58,0.44,M
none,0.93,0.9,0.83,M
none,0.49,0.53,0.53,F
none,0.73,0.76,0.78,F
completed,0.66,0.74,0.81,F
none,0.77,0.77,0.73,F
none,0.49,0.63,0.56,F
none,0.79,0.89,0.86,F
completed,0.75,0.82,0.9,F
none,0.59,0.72,0.7,F
completed,0.57,0.78,0.79,F
none,0.66,0.66,0.59,M
completed,0.79,0.81,0.82,F
none,0.57,0.67,0.72,F
completed,0.87,0.84,0.87,M
none,0.63,0.64,0.67,F
completed,0.59,0.63,0.64,F
none,0.62,0.72,0.65,M
none,0.46,0.34,0.36,M
none,0.66,0.59,0.52,M
none,0.89,0.87,0.79,M
completed,0.42,0.61,0.58,F
completed,0.93,0.84,0.9,M
completed,0.8,0.85,0.85,F
none,0.98,1,0.99,F
none,0.81,0.81,0.84,M
completed,0.6,0.7,0.74,F
completed,0.76,0.94,0.87,F
completed,0.73,0.78,0.72,M
completed,0.96,0.96,0.99,F
none,0.76,0.76,0.74,F
completed,0.91,0.73,0.8,M
none,0.62,0.72,0.7,F
completed,0.55,0.59,0.59,M
completed,0.74,0.9,0.88,F
none,0.5,0.48,0.42,M
none,0.47,0.43,0.41,M
completed,0.81,0.74,0.71,M
completed,0.65,0.75,0.77,F
completed,0.68,0.51,0.57,M
none,0.73,0.92,0.84,F
none,0.53,0.39,0.37,M
completed,0.68,0.77,0.8,F
none,0.55,0.46,0.43,M
completed,0.87,0.89,0.94,F
none,0.55,0.47,0.44,M
none,0.53,0.58,0.57,F
none,0.67,0.57,0.59,M
none,0.92,0.79,0.84,M
completed,0.53,0.66,0.73,F
none,0.81,0.71,0.73,M
none,0.61,0.6,0.55,M
none,0.8,0.73,0.72,M
none,0.37,0.57,0.56,F
none,0.81,0.84,0.82,F
completed,0.59,0.73,0.72,F
none,0.55,0.55,0.47,M
none,0.72,0.79,0.74,M
none,0.69,0.75,0.71,M
none,0.69,0.64,0.68,M
none,0.5,0.6,0.59,F
completed,0.87,0.84,0.86,M
completed,0.71,0.69,0.68,M
none,0.68,0.72,0.65,M
completed,0.79,0.77,0.75,M
completed,0.77,0.9,0.85,F
none,0.58,0.55,0.53,M
none,0.84,0.95,0.92,F
none,0.55,0.58,0.52,M
completed,0.7,0.68,0.72,M
completed,0.52,0.59,0.65,F
completed,0.69,0.77,0.77,M
none,0.53,0.72,0.64,F
none,0.48,0.58,0.54,F
completed,0.78,0.81,0.86,M
none,0.62,0.62,0.63,F
none,0.6,0.63,0.59,M
none,0.74,0.72,0.72,F
completed,0.58,0.75,0.77,F
completed,0.76,0.62,0.6,M
none,0.68,0.71,0.75,F
none,0.58,0.6,0.57,M
none,0.52,0.48,0.49,M
none,0.75,0.73,0.74,M
completed,0.52,0.67,0.72,F
none,0.62,0.78,0.79,F
none,0.66,0.65,0.6,M
none,0.49,0.58,0.55,F
none,0.66,0.72,0.7,F
none,0.35,0.44,0.43,F
completed,0.72,0.79,0.82,F
completed,0.94,0.85,0.82,M
none,0.46,0.56,0.57,F
none,0.77,0.9,0.84,F
completed,0.76,0.85,0.82,F
completed,0.52,0.59,0.62,F
completed,0.91,0.81,0.79,M
completed,0.32,0.51,0.44,F
none,0.72,0.79,0.77,F
none,0.19,0.38,0.32,F
none,0.68,0.65,0.61,M
none,0.52,0.65,0.61,F
none,0.48,0.62,0.6,F
none,0.6,0.66,0.7,F
none,0.66,0.74,0.69,M
completed,0.89,0.84,0.77,M
none,0.42,0.52,0.51,F
completed,0.57,0.68,0.73,F
none,0.7,0.7,0.7,M
none,0.7,0.84,0.81,F
none,0.69,0.6,0.54,M
none,0.52,0.55,0.57,F
completed,0.67,0.73,0.68,M
completed,0.76,0.8,0.73,M
none,0.87,0.94,0.95,F
none,0.82,0.85,0.87,F
none,0.73,0.76,0.78,F
none,0.75,0.81,0.74,M
none,0.64,0.74,0.75,F
none,0.41,0.45,0.4,F
none,0.9,0.75,0.69,M
none,0.59,0.54,0.51,M
none,0.51,0.31,0.36,M
none,0.45,0.47,0.49,M
completed,0.54,0.64,0.67,F
completed,0.87,0.84,0.76,M
none,0.72,0.8,0.83,F
completed,0.94,0.86,0.87,M
none,0.45,0.59,0.64,F
completed,0.61,0.7,0.76,M
none,0.6,0.72,0.68,F
none,0.77,0.91,0.88,F
completed,0.85,0.9,0.92,F
none,0.78,0.9,0.93,F
completed,0.49,0.52,0.51,M
none,0.71,0.87,0.82,F
none,0.48,0.58,0.52,F
none,0.62,0.67,0.58,M
completed,0.56,0.68,0.7,F
none,0.65,0.69,0.76,F
completed,0.69,0.86,0.81,F
none,0.68,0.54,0.53,M
none,0.61,0.6,0.57,F
completed,0.74,0.86,0.89,F
none,0.64,0.6,0.58,M
completed,0.77,0.82,0.89,F
none,0.58,0.5,0.45,M
completed,0.6,0.64,0.74,F
none,0.73,0.64,0.57,M
completed,0.75,0.82,0.79,F
completed,0.58,0.57,0.53,M
none,0.66,0.77,0.73,F
none,0.39,0.52,0.46,F
none,0.64,0.58,0.51,M
completed,0.23,0.44,0.36,F
completed,0.74,0.77,0.76,M
completed,0.4,0.65,0.64,F
none,0.9,0.85,0.84,M
completed,0.91,0.85,0.85,M
none,0.64,0.54,0.5,M
none,0.59,0.72,0.68,F
none,0.8,0.75,0.69,M
none,0.71,0.67,0.67,M
none,0.61,0.68,0.63,F
none,0.87,0.85,0.93,F
none,0.82,0.67,0.61,M
none,0.62,0.64,0.55,M
none,0.97,0.97,0.96,F
none,0.75,0.68,0.65,M
none,0.65,0.79,0.81,F
completed,0.52,0.49,0.46,M
none,0.87,0.73,0.72,M
none,0.53,0.62,0.53,F
none,0.81,0.86,0.87,F
completed,0.39,0.42,0.38,M
completed,0.71,0.71,0.8,F
none,0.97,0.93,0.91,M
completed,0.82,0.82,0.88,M
none,0.59,0.53,0.52,M
none,0.61,0.42,0.41,M
completed,0.78,0.74,0.72,M
none,0.49,0.51,0.51,M
none,0.59,0.58,0.47,M
completed,0.7,0.72,0.76,F
completed,0.82,0.84,0.78,M
none,0.9,0.9,0.82,M
none,0.43,0.62,0.61,F
none,0.8,0.64,0.66,M
none,0.81,0.82,0.84,M
none,0.57,0.61,0.54,M
none,0.59,0.72,0.8,F
none,0.64,0.76,0.74,F
completed,0.63,0.64,0.66,M
completed,0.71,0.7,0.7,F
none,0.64,0.73,0.71,F
none,0.55,0.46,0.44,M
none,0.51,0.51,0.54,F
completed,0.62,0.76,0.8,F
completed,0.93,1,0.95,F
none,0.54,0.72,0.59,M
none,0.69,0.65,0.74,F
none,0.44,0.51,0.48,M
completed,0.86,0.85,0.91,F
none,0.85,0.92,0.85,F
none,0.5,0.67,0.73,F
completed,0.88,0.74,0.75,M
none,0.59,0.62,0.69,F
none,0.32,0.34,0.38,F
none,0.36,0.29,0.27,M
completed,0.63,0.78,0.79,F
completed,0.67,0.54,0.63,M
completed,0.65,0.78,0.82,F
none,0.85,0.84,0.89,M
none,0.73,0.78,0.74,F
completed,0.34,0.48,0.41,F
completed,0.93,1,1,F
none,0.67,0.84,0.84,F
none,0.88,0.77,0.77,M
none,0.57,0.48,0.51,M
completed,0.79,0.84,0.91,F
none,0.67,0.75,0.72,F
completed,0.7,0.64,0.7,M
none,0.5,0.42,0.48,M
none,0.69,0.84,0.82,F
completed,0.52,0.61,0.66,F
completed,0.47,0.62,0.66,F
none,0.46,0.61,0.55,F
none,0.68,0.7,0.66,F
completed,1,1,1,M
none,0.44,0.61,0.52,F
completed,0.57,0.77,0.8,F
completed,0.91,0.96,0.91,M
none,0.69,0.7,0.67,M
none,0.35,0.53,0.46,F
none,0.72,0.66,0.66,M
none,0.54,0.65,0.65,F
none,0.74,0.7,0.69,M
completed,0.74,0.64,0.6,M
none,0.64,0.56,0.52,M
completed,0.65,0.61,0.71,F
completed,0.46,0.43,0.44,M
none,0.48,0.56,0.51,F
completed,0.67,0.74,0.7,M
none,0.62,0.57,0.62,M
completed,0.61,0.71,0.73,M
completed,0.7,0.75,0.74,M
completed,0.98,0.87,0.9,M
none,0.7,0.63,0.58,M
none,0.67,0.57,0.53,M
none,0.57,0.58,0.57,F
completed,0.85,0.81,0.85,M
completed,0.77,0.68,0.69,M
completed,0.72,0.66,0.72,M
none,0.78,0.91,0.96,F
none,0.81,0.66,0.64,M
completed,0.61,0.62,0.61,M
none,0.58,0.68,0.61,F
none,0.54,0.61,0.58,F
none,0.82,0.82,0.8,M
none,0.49,0.58,0.6,F
completed,0.49,0.5,0.52,M
completed,0.57,0.75,0.73,F
none,0.94,0.73,0.71,M
completed,0.75,0.77,0.83,F
none,0.74,0.74,0.72,F
completed,0.58,0.52,0.54,M
none,0.62,0.69,0.69,F
none,0.72,0.57,0.62,M
none,0.84,0.87,0.81,M
none,0.92,1,1,F
none,0.45,0.63,0.59,F
none,0.75,0.81,0.71,M
none,0.56,0.58,0.64,F
none,0.48,0.54,0.53,F
none,1,1,1,F
completed,0.65,0.76,0.75,F
none,0.72,0.57,0.58,M
none,0.62,0.7,0.72,F
completed,0.66,0.68,0.64,M
none,0.63,0.63,0.6,M
none,0.68,0.76,0.67,F
none,0.75,0.84,0.8,F
none,0.89,1,1,F
completed,0.78,0.72,0.69,M
completed,0.53,0.5,0.6,F
none,0.49,0.65,0.61,F
none,0.54,0.63,0.67,F
completed,0.64,0.82,0.77,F
completed,0.6,0.62,0.6,M
none,0.62,0.65,0.58,M
completed,0.55,0.41,0.48,M
none,0.91,0.95,0.94,F
none,0.08,0.24,0.23,F
none,0.81,0.78,0.78,M
completed,0.79,0.85,0.86,M
completed,0.78,0.87,0.91,F
none,0.74,0.75,0.82,F
none,0.57,0.51,0.54,M
none,0.4,0.59,0.51,F
completed,0.81,0.75,0.76,M
none,0.44,0.45,0.45,F
completed,0.67,0.86,0.83,F
completed,0.86,0.81,0.75,M
completed,0.65,0.82,0.78,F
none,0.55,0.76,0.76,F
none,0.62,0.72,0.74,F
none,0.63,0.63,0.62,M
completed,0.88,0.99,0.95,F
none,0.62,0.55,0.55,M
completed,0.59,0.71,0.65,F
completed,0.68,0.78,0.77,F
none,0.77,0.86,0.86,F
